date,portfolio_value,daily_return,realized_vol,expected_vol,drawdown,regime_score,turnover
2023-08-01,213197.72778029784,0.001167919947203666,0.09412076044281649,0.11175550002791103,-0.05633870214824798,1.0,1.1938293128494566
2023-08-02,210693.0238992763,-0.011748267240458854,0.1027314547399674,0.11432321050634583,-0.06742508725988858,1.0,0.0
2023-08-03,210022.7811330713,-0.0031811341154106554,0.10278122241032156,0.11384513956240921,-0.07039173312998225,1.0,0.0
2023-08-04,208429.45721106883,-0.0075864337830710005,0.10576259674837872,0.11479832588389362,-0.07744414469078702,1.0,0.0
2023-08-07,208208.2618977361,-0.0010612478499558708,0.10477941078447103,0.11476982982689332,-0.07842320510869813,1.0,0.0
2023-08-08,206301.5423962923,-0.009157751397878333,0.10847133187425351,0.1164791723224416,-0.0868627762903662,1.0,0.0
2023-08-09,201150.0620877588,-0.024970633998643743,0.1348471308495708,0.12778401493046967,-0.10966439169415715,1.0,0.0
2023-08-10,202216.02011757036,0.0052993174287288,0.12988114749302274,0.12777024884436458,-0.10494622068764405,1.0,0.0
2023-08-11,200129.5438046198,-0.01031805646129047,0.12527404979984222,0.1287414610871566,-0.11418143611848038,1.0,0.0
2023-08-14,203439.99031759793,0.01654151830881112,0.14103565580886998,0.13358344278285422,-0.09952865212574953,0.8666666666666667,0.0
2023-08-15,203279.61431840202,-0.0007883209144158299,0.13849986674173861,0.13344328596264204,-0.10023851252211098,0.7333333333333334,0.0
2023-08-16,202804.13636225968,-0.002339034131566109,0.1382810850986149,0.1320018423554472,-0.10234308535159045,0.6,0.0
2023-08-17,198839.58657074225,-0.019548663368659014,0.1491357392545983,0.1373264832660928,-0.11989107819660129,0.6,0.0
2023-08-18,198849.3872462262,4.928935758208297e-05,0.14491062739006705,0.13700142956759404,-0.1198476981932434,0.6,0.0
2023-08-21,203303.97220426943,0.022401803795992326,0.1669021290437722,0.1449179987489255,-0.1001306990175775,0.48333333333333334,0.0
2023-08-22,203027.14908855077,-0.0013616217760886729,0.16689281308313553,0.14389589477187148,-0.10135598065342889,0.3666666666666667,0.0
2023-08-23,207985.41796236072,0.02442170367888785,0.18566789379696863,0.15247099358401095,-0.07940956270014225,0.25,0.0
2023-08-24,206014.92587472277,-0.009474183848766526,0.18785209447906737,0.14828476108005004,-0.08813140575253746,0.25,0.0
2023-08-25,204593.81376966566,-0.006898102644860238,0.1884714329942449,0.1486726834598922,-0.09442156891428086,0.25,0.0
2023-08-28,206552.3948712281,0.009573022104018447,0.18971562758081373,0.14905761717880103,-0.0857524465765749,0.25,0.0
2023-08-29,209971.6381179986,0.016553878491228247,0.19923178421133103,0.15268662240184733,-0.07061810366630086,0.25,0.0
2023-08-30,209473.74264773141,-0.0023712510638573825,0.19921595215368887,0.15221938843174407,-0.07282190147671198,0.25,0.0
2023-08-31,209864.16435253306,0.0018638216888988701,0.19548629140187965,0.15199476774999268,-0.07109380682721235,0.3666666666666667,0.0
2023-09-01,208603.46507981978,-0.006007215555846601,0.1962506912179406,0.15247327739965863,-0.07667394656076212,0.48333333333333334,1.4794862892515928
2023-09-05,209977.9257097422,0.006588867684419908,0.19573888174045312,0.15282771341237275,-0.07059027336507342,0.6,0.0
2023-09-06,210054.01769066232,0.0003623808581922905,0.19566802035729233,0.15090793601555091,-0.07025347307072329,0.6,0.0
2023-09-07,210102.58471183127,0.0002312120553698005,0.19266045897207826,0.15064643769818103,-0.07003850446525903,0.7333333333333334,0.0
2023-09-08,209901.26358449092,-0.0009582039536375486,0.169627714789762,0.14927974168504468,-0.0709295972470111,0.8666666666666667,0.0
2023-09-11,210327.103273674,0.002028761913630328,0.16924433265721228,0.149280112453943,-0.06904473459882472,1.0,0.0
2023-09-12,210004.850243977,-0.0015321517040896016,0.16414315913769598,0.14882151657780163,-0.07047109929514034,1.0,0.0
2023-09-13,209956.65227975778,-0.00022950881450234384,0.1563491899604832,0.14816777977247833,-0.07068443437118675,1.0,0.0
2023-09-14,210542.51740992392,0.0027904099432176643,0.1561746899557954,0.14820428870433558,-0.0680912629764691,1.0,0.0
2023-09-15,209914.56291258414,-0.0029825543318510173,0.15639045622397582,0.14666231178251915,-0.07087073141696844,1.0,0.0
2023-09-18,210006.75647121953,0.00043919562967054127,0.13724145850134056,0.14547605011982848,-0.07046266190280784,1.0,0.0
2023-09-19,209751.04754286163,-0.0012176223882250925,0.13759508031224277,0.14406953019194763,-0.07159448737636617,1.0,0.0
2023-09-20,209301.03708945392,-0.0021454503263720337,0.11892177978672583,0.14058702761596562,-0.07358633528643015,1.0,0.0
2023-09-21,208978.93665808954,-0.0015389337570588246,0.11897292494049713,0.13998745865145296,-0.07501202454805843,0.9967704124531238,0.0
2023-09-22,209153.8386909432,0.0008369361795530494,0.08650529846071976,0.13679664878728984,-0.07423786864575127,0.9929794747563111,0.0
2023-09-25,209274.34782856223,0.0005761746395536171,0.0792741297689101,0.13203349944556472,-0.07370446798340578,0.9911431866619346,0.0
